well,target,removed_feature,model,n_features,features,r2_train,r2_test,elapsed_sec,formula
ZXX6,POIS,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9703,-32166.7294,1.3,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX6,SHMAX,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.0218,0.0714,0.0,-0.01658 * LLD + 88.68
ZXX6,SHMAX,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9228,-0.0048,0.0,linear_multi
ZXX6,SHMAX,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9868,-0.0287,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX6,SHMAX,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9941,-0.029,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,SHMAX,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9245,-50.0811,2.4,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,YMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9339,0.9072,0.0,-688.8 * DTS + 1.283e+05
ZXX7,YMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.995,-6.1305,0.0,linear_multi
ZXX7,YMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.998,0.9269,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX7,YMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9995,0.9124,0.3,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,YMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9948,-532.1136,3.6,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,SMOD,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9428,0.9337,0.0,-0.281 * DTS + 51.59
ZXX7,SMOD,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9941,-15.5438,0.0,linear_multi
ZXX7,SMOD,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9987,0.9283,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX7,SMOD,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9996,0.9451,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,SMOD,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9983,-1110.214,1.1,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,POIS,DTC,Linear_single,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9648,0.9083,0.0,0.3244 * RMSC + -0.3077
ZXX7,POIS,DTC,Linear_multi,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9723,-17.9076,0.0,linear_multi
ZXX7,POIS,DTC,RF,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9921,0.9315,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX7,POIS,DTC,XGBoost,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9898,0.8602,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,POIS,DTC,MLP_BP,8,"['DTS', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9594,-1689.9708,1.7,"MLP-BP(128,64,32, adaptive_lr, ES)"
