well,target,model,split_mode,r2_train,r2_test,mae_test,elapsed_sec,formula
ZXX6,SHMAX,Linear_multi,last20,0.9215,-174.1941,27.8239,0.0,linear_multi
ZXX6,SHMAX,Poly2,last20,0.9563,-86026028.604,16035.1849,0.0,Poly(deg=2)
ZXX6,SHMAX,Poly3,last20,0.9777,-141194765946627.9,18739911.5105,0.01,Poly(deg=3)
ZXX6,SHMAX,SVR_rbf,last20,0.9936,-0.2927,6.004,0.24,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)"
ZXX6,SHMAX,RF,last20,0.9879,0.1439,4.7427,0.36,"RF(n=300, depth=10, leaf=5)"
ZXX6,SHMAX,XGBoost,last20,0.9947,0.1655,4.6597,0.22,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX6,SHMAX,MLP_BP,last20,0.9566,-355830.8823,1444.3042,4.44,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,YMOD,Linear_single,last20,0.9804,0.8117,4219.2256,0.0,-485.9 * DTS + 1.009e+05
ZXX7,YMOD,Linear_multi,last20,0.9914,0.8007,3753.0832,0.0,linear_multi
ZXX7,YMOD,Poly2,last20,0.9985,-83.1664,32234.7886,0.0,Poly(deg=2)
ZXX7,YMOD,Poly3,last20,0.9987,-10294230.6917,8150293.4349,0.01,Poly(deg=3)
ZXX7,YMOD,SVR_rbf,last20,0.9839,0.0093,10309.6381,0.21,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)"
ZXX7,YMOD,RF,last20,0.9937,0.7654,5013.4625,0.46,"RF(n=300, depth=10, leaf=5)"
ZXX7,YMOD,XGBoost,last20,0.9989,0.8048,4351.4014,0.22,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,YMOD,MLP_BP,last20,0.9953,-302.703,89341.5807,5.53,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,SMOD,Linear_single,last20,0.9878,0.8933,0.9143,0.0,-0.2051 * DTS + 41.35
ZXX7,SMOD,Linear_multi,last20,0.9912,0.7367,1.5443,0.0,linear_multi
ZXX7,SMOD,Poly2,last20,0.9985,-164.0407,16.1961,0.0,Poly(deg=2)
ZXX7,SMOD,Poly3,last20,0.9987,-12016122.943,3085.0772,0.01,Poly(deg=3)
ZXX7,SMOD,SVR_rbf,last20,0.9977,0.0058,3.656,0.22,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)"
ZXX7,SMOD,RF,last20,0.9948,0.7933,1.3543,0.42,"RF(n=300, depth=10, leaf=5)"
ZXX7,SMOD,XGBoost,last20,0.999,0.8206,1.2334,0.23,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,SMOD,MLP_BP,last20,0.998,-1443.6117,64.8578,4.15,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,POIS,Linear_single,last20,0.987,0.8689,0.0139,0.0,0.3075 * RMSC + -0.2762
ZXX7,POIS,Linear_multi,last20,0.9922,0.864,0.012,0.0,linear_multi
ZXX7,POIS,Poly2,last20,0.9978,-71.9008,0.115,0.0,Poly(deg=2)
ZXX7,POIS,Poly3,last20,0.9981,-352800.4262,8.9511,0.02,Poly(deg=3)
ZXX7,POIS,SVR_rbf,last20,0.9971,-1.095,0.0631,0.48,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)"
ZXX7,POIS,RF,last20,0.9982,0.4374,0.0269,0.45,"RF(n=300, depth=10, leaf=5)"
ZXX7,POIS,XGBoost,last20,0.9941,0.2619,0.0326,0.19,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,POIS,MLP_BP,last20,0.9533,-13622.174,1.9781,3.99,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX7,SHMAX,Linear_single,last20,0.2444,0.5558,3.6137,0.0,-0.5106 * CNL + 122.5
ZXX7,SHMAX,Linear_multi,last20,0.5628,-43.9183,20.5068,0.0,linear_multi
ZXX7,SHMAX,Poly2,last20,0.8522,-2084288.4873,2779.0177,0.0,Poly(deg=2)
ZXX7,SHMAX,Poly3,last20,0.9378,-116670945050.5456,663591.9761,0.01,Poly(deg=3)
ZXX7,SHMAX,SVR_rbf,last20,0.9112,-0.138,5.2252,1.36,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)"
ZXX7,SHMAX,RF,last20,0.956,0.2648,4.2631,0.45,"RF(n=300, depth=10, leaf=5)"
ZXX7,SHMAX,XGBoost,last20,0.957,0.1644,4.5208,0.23,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX7,SHMAX,MLP_BP,last20,0.9255,-37426.7341,519.1289,6.0,"MLP-BP(128,64,32, adaptive_lr, ES)"
