well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX2,SHMAX,gplearn,Random,0.9183,0.5848,"(scaled) sub(div(mul(DTS, sub(DEN, GR)), sub(sub(sub(sub(div(mul(mul(-1.338, DTS), sub(GR, sub(DEN, sub(div(mul(mul(-1.338, DTS), sub(GR, sub(DEN, GR))), DEN), DTS)))), sub(sub(-1.338, DTS)",WellA
ZXX2,YMOD,gplearn,Random,0.9781,0.9813,"(scaled) sub(mul(0.228, add(add(LLS, add(sub(mul(0.228, add(add(add(DEN, DTS), mul(sub(DTC, -0.661), add(add(LLS, DTC), DTS))), sub(sub(add(DEN, DTS), sub(DTC, -0.661)), sub(DTC, mul(0.228,",WellA
ZXX2,POIS,gplearn,Random,0.9623,0.9652,"(scaled) mul(0.987, mul(0.987, RMSC))",WellA
ZXX7,SMOD,gplearn,Random,0.998,0.9981,"(scaled) sub(mul(add(add(sub(DTS, sub(1.515, DTS)), mul(DTS, DTS)), add(add(add(DEN, add(sub(DTS, sub(sub(sub(sub(1.421, DTC), DTS), DEN), add(DTS, LLD))), mul(DTS, DTS))), mul(DTS, DTS)), ",WellD
ZXX7,SHMAX,gplearn,Random,0.6395,0.6322,"(scaled) mul(sub(sub(add(add(add(DTC, -0.097), GR), mul(sub(LLS, DTC), GR)), DTS), DTC), LLD)",WellD
ZXX7,YMOD,gplearn,Random,0.9983,0.9983,"(scaled) sub(mul(add(add(sub(mul(DEN, DTC), DTS), sub(add(sub(sub(sub(sub(sub(LLS, RMSC), DTS), DTS), add(DTS, mul(DTC, DTS))), DTS), sub(sub(sub(2.031, DEN), add(DEN, mul(DTS, DTS))), mul(",WellD
ZXX7,POIS,gplearn,Random,0.9978,0.998,"(scaled) div(mul(-2.315, div(mul(-2.315, sub(RMSC, -0.119)), sub(mul(-0.119, RMSC), 2.419))), sub(mul(div(mul(-2.315, sub(RMSC, -0.119)), sub(mul(-0.119, RMSC), 2.419)), -0.146), 2.419))",WellD
ZXX6,SMOD,gplearn,Random,0.9854,0.9861,"(scaled) sub(mul(0.196, add(DEN, sub(DTS, CNL))), DTS)",WellC
ZXX6,SHMAX,gplearn,Random,0.9195,-120.0764,"(scaled) mul(mul(mul(div(mul(mul(RMSC, sub(CNL, DTC)), mul(add(DEN, GR), 0.421)), sub(CNL, DTC)), div(CAL, DTS)), mul(mul(mul(mul(RMSC, sub(CNL, DTC)), mul(mul(sub(add(LLS, sub(add(LLS, div",WellC
ZXX6,YMOD,gplearn,Random,0.9731,0.9759,"(scaled) div(DTC, -1.005)",WellC
ZXX6,POIS,gplearn,Random,0.995,0.9955,"(scaled) add(mul(-0.160, mul(add(mul(-0.160, add(sub(DEN, DTC), div(add(add(add(1.204, RMSC), add(add(1.435, RMSC), sub(CNL, LLS))), RMSC), DEN))), RMSC), DEN)), RMSC)",WellC
ZXX3,SMOD,Linear_single,OOD,0.9602,0.9044,-0.2509 * DTS + 47.41,WellB
ZXX3,SMOD,SVR_rbf,OOD,0.9979,-0.0252,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,SMOD,XGBoost,OOD,0.9988,0.8441,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,SMOD,Poly3,OOD,0.9989,0.9616,Poly(deg=3),WellB
ZXX3,SMOD,Poly2,OOD,0.9987,0.9824,Poly(deg=2),WellB
ZXX3,SMOD,RF,OOD,0.9985,0.8851,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,SMOD,MLP_BP,OOD,0.997,-0.012,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,SMOD,Linear_multi,OOD,0.9901,-33.4669,linear_multi,WellB
ZXX3,SHMAX,Linear_single,OOD,0.2466,0.5545,45.26 * RMSC + 42.8,WellB
ZXX3,SHMAX,SVR_rbf,OOD,0.725,-0.4035,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,SHMAX,XGBoost,OOD,0.9112,0.4096,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,SHMAX,Poly3,OOD,0.6762,-889.3116,Poly(deg=3),WellB
ZXX3,SHMAX,Poly2,OOD,0.5467,-11.3046,Poly(deg=2),WellB
ZXX3,SHMAX,RF,OOD,0.934,0.1747,"RF(n=300, depth=10, leaf=5)",WellB
ZXX3,SHMAX,MLP_BP,OOD,0.8004,-20.9761,"MLP-BP(128,64,32, adaptive_lr, ES)",WellB
ZXX3,SHMAX,Linear_multi,OOD,0.4022,-2922.1945,linear_multi,WellB
ZXX3,YMOD,Linear_single,OOD,0.8398,0.9247,-1263 * DTC + 1.277e+05,WellB
ZXX3,YMOD,SVR_rbf,OOD,0.9979,-0.0229,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellB
ZXX3,YMOD,XGBoost,OOD,0.9986,0.8012,"XGB(n=300, depth=4, lr=0.05, reg)",WellB
ZXX3,YMOD,Poly3,OOD,0.9987,0.9677,Poly(deg=3),WellB
ZXX3,YMOD,Poly2,OOD,0.9985,0.9865,Poly(deg=2),WellB
ZXX3,YMOD,RF,OOD,0.9983,0.8163,"RF(n=300, depth=10, leaf=5)",WellB
