well,target,model,r2_train,r2_test,mae_test,n_train,n_test,formula,well_desens
ZXX6,YMOD,Linear_single,0.9515,0.7806,4377.8967,915,229,-978.1 * DTC + 1.089e+05,WellC
ZXX6,YMOD,SVR_rbf,0.4288,-1.3654,15277.913,915,229,"SVR(rbf, C=10)",WellC
ZXX6,YMOD,XGBoost,1.0,0.1122,8196.1917,915,229,"XGBoost(n=200, depth=6)",WellC
ZXX6,YMOD,Poly3,0.9993,-497574925779.8774,1666116990.4851,915,229,"Poly(deg=3, n_terms=285)",WellC
ZXX6,YMOD,Poly2,0.9985,-214720.6866,1641311.2313,915,229,"Poly(deg=2, n_terms=65)",WellC
ZXX6,YMOD,RF,0.999,0.0902,8336.1547,915,229,RF(n=200),WellC
ZXX6,YMOD,MLP_BP,0.996,-4696.4645,325050.9695,915,229,"MLP-BP(64,32)",WellC
ZXX6,YMOD,Linear_multi,0.9946,-32.1172,26025.6522,915,229,-97.81*DTC + -627.7*DTS + 1.509e+04*DEN + 4.135*GR + 3.346*CNL + 93.32*LLD + -98.42*LLS + 1.337e+04*RMSC + 561.4*CAL + 27.47*AC + 5.179e+04,WellC
ZXX6,POIS,Linear_single,0.996,0.8803,0.0118,915,229,0.4803 * RMSC + -0.5716,WellC
ZXX6,POIS,SVR_rbf,-0.4002,-0.2779,0.0484,915,229,"SVR(rbf, C=10)",WellC
ZXX6,POIS,XGBoost,0.9996,0.705,0.0186,915,229,"XGBoost(n=200, depth=6)",WellC
ZXX6,POIS,Poly3,0.9996,-855820174772.7706,9964.3115,915,229,"Poly(deg=3, n_terms=285)",WellC
ZXX6,POIS,Poly2,0.9995,-378928.3175,8.837,915,229,"Poly(deg=2, n_terms=65)",WellC
ZXX6,POIS,RF,0.9999,0.6926,0.019,915,229,RF(n=200),WellC
ZXX6,POIS,MLP_BP,-2.8712,-129342.3332,6.8587,915,229,"MLP-BP(64,32)",WellC
ZXX6,POIS,Linear_multi,0.9972,0.1606,0.017,915,229,-0.002956*DTC + 0.00175*DTS + 0.002503*DEN + -1.293e-05*GR + 0.0001012*CNL + 8.446e-05*LLD + -0.0001132*LLS + 0.3478*RMSC + 0.001959*CAL + 1.728e-05*AC + -0.3716,WellC
ZXX3,SMOD,PySR,0.9984,0.9993,0.1055,3266,816,(1983.5317 / ((DTS + 29.426968) - (DEN * 24.522974))) + -6.5151806,WellB
ZXX3,SHMAX,PySR,0.1807,0.4469,4.9706,3266,816,RMSC * 68.64297,WellB
ZXX3,YMOD,PySR,0.998,0.9937,775.5659,3266,816,((-0.0072139003 / RMSC) + ((((DTS + (-298.7863 / DEN)) + 177.70152) / DTS) / DTS)) * 4.9235125e6,WellB
ZXX3,POIS,PySR,0.9994,0.9996,0.0006,3266,816,(-0.05473944 / ((RMSC + -1.1032739) * 0.31520098)) + 0.5161185,WellB
ZXX2,SMOD,PySR,0.8742,0.8818,1.6912,2140,535,((((2334.3252 / DTS) - (RMSC / 0.3270235)) - 12.61622) - (((DEN * ((2.3450434 / ((DTS - 13.329555) / DTC)) - 3.7602012)) / 0.6284807) + -1.0078826)) * 1.3212954,WellA
ZXX2,SHMAX,PySR,0.7887,0.7829,6.245,2140,535,((DTS * -0.37625292) - (CNL / ((DEN - 2.0907688) * 6.2427063))) + 173.43863,WellA
ZXX2,YMOD,PySR,0.7915,0.8259,6289.4034,2140,535,(6.367704e6 / DTS) + -8446.545,WellA
